Code,Name,Group,MainGroupCode,MainGroupDescriptionSe,MainGroupDescriptionEn,GroupCode,GroupCodeDescriptionSe,GroupCodeDescriptionEn,CountyCode,CountyName,HealthcareRegionName,Ald0_5,Ald6_9,Ald10_15,Ald16_19,Ald20_24,Ald25_29,Ald30_34,Ald35_39,Ald40_44,Ald45_49,Ald50_54,Ald55_59,Ald60_64,Ald65_69,Ald70_74,Ald75_79,Ald80_w,Pop_sum,lat,long,Age_gp1,Age_gp2,Age_gp3
1290,Kristianstad,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,12,Skåne län,Region Skåne,5832,4096,6000,3957,4978,5777,5252,4734,4951,5336,5659,5089,4813,4775,5006,3610,4933,84798,14.21587344,55.96444208,0.727151584,0.214674874,0.058173542
1781,Kristinehamn,B5,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,5,Lågpendlingskommun nära större stad,Low commuting rate municipalities near medium-sized town,17,Värmlands län,Region Värmland,1437,1065,1516,994,1181,1483,1290,1212,1304,1488,1772,1590,1576,1704,1773,1217,1698,24300,14.01394297,59.21514005,0.672098765,0.258024691,0.069876543
2309,Krokom,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,23,Jämtlands län,Region Jämtland Härjedalen,1122,869,1317,674,549,672,784,899,986,998,1029,870,900,896,962,610,716,14853,14.2112966,63.77900329,0.725038713,0.226755538,0.04820575
1881,Kumla,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,18,Örebro län,Region Örebro län,1657,1253,1653,1085,1086,1298,1336,1307,1426,1601,1413,1122,1092,1144,1222,899,1024,21618,15.13904289,59.12396107,0.751087057,0.201545009,0.047367934
1384,Kungsbacka,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,13,Hallands län,Region Halland,5880,4821,7281,4308,4017,3906,4046,4711,5649,6546,6421,5084,4267,4136,4680,3452,4073,83278,11.95274302,57.40430147,0.752539686,0.198551838,0.048908475
1960,Kungsör,C7,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,7,Pendlingskommun nära mindre stad/tätort,Commuting municipality near small town,19,Västmanlands län,Region Västmanland,623,421,630,423,389,431,481,437,502,538,630,574,497,577,615,417,477,8662,16.08727377,59.41523714,0.70180097,0.243130917,0.055068114
1482,Kungälv,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,14,Västra Götalands län,Västra Götalandsregionen,3270,2396,3391,1932,2352,2769,2728,2547,2884,2960,3313,2853,2486,2259,2479,1910,2509,45038,11.70188277,57.87816738,0.741484968,0.202806519,0.055708513
1261,Kävlinge,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,12,Skåne län,Region Skåne,2471,1852,2895,1534,1304,1421,1768,2038,2451,2610,2262,1649,1346,1512,1831,1213,1321,31478,12.97297748,55.76872655,0.770538154,0.187496029,0.041965817
1983,Köping,B5,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,5,Lågpendlingskommun nära större stad,Low commuting rate municipalities near medium-sized town,19,Västmanlands län,Region Västmanland,1779,1231,1814,1184,1381,1686,1555,1426,1358,1520,1894,1630,1587,1592,1709,1178,1717,26241,15.88794127,59.57454079,0.703403072,0.231164971,0.065431958
1381,Laholm,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,13,Hallands län,Region Halland,1746,1164,1767,1174,1150,1373,1390,1307,1481,1615,1686,1606,1674,1801,1769,1202,1570,25475,13.18021151,56.50168955,0.685338567,0.253032385,0.061629048
1282,Landskrona,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,12,Skåne län,Region Skåne,3598,2356,3055,2049,2492,3058,3076,2880,2815,2836,3061,2653,2532,2585,2535,1811,2273,45665,12.82341648,55.88079092,0.74299792,0.207226541,0.049775539
